Phenotype,Category,n CpGs,Author,Year,Title,DOI,Based on,Reference,Sample type,Sample size,Developmental period,Tissue,Array,Ancestry,Author_list,Date
BAFopathy syndrome: Coffin-Siris 3 (CSS3),Genetic syndromes,140.0,Aref-Eshghi et al.,2020.0,Evaluation of DNA methylation episignatures for diagnosis and phenotype correlations in 42 Mendelian neurodevelopmental disorders,10.1016/j.ajhg.2020.01.019,Raw individual-level data,,Case control,889.0,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,"['Aref-Eshghi, E.', 'Kerkhof, J.', 'Pedro, V. P.', 'Barat-Houari, M.', 'Ruiz-Pallares, N.', 'Andrau, J. C.', 'Lacombe, D.', 'Van-Gils, J.', 'Fergelot, P.', 'Dubourg, C.', 'Cormier-Daire, V.', 'Rondeau, S.', 'Lecoquierre, F.', 'Saugier-Veber, P.', 'Nicolas, G.', 'Lesca, G.', 'Chatron, N.', 'Sanlaville, D.', 'Vitobello, A.', 'Faivre, L.', 'Thauvin-Robinet, C.', 'Laumonnier, F.', 'Raynaud, M.', 'Alders, M.', 'Mannens, M.', 'Henneman, P.', 'Hennekam, R. C.', 'Velasco, G.', 'Francastel, C.', 'Ulveling, D.', 'Ciolfi, A.', 'Pizzi, S.', 'Tartaglia, M.', 'Heide, S.', 'Héron, D.', 'Mignot, C.', 'Keren, B.', 'Whalen, S.', 'Afenjar, A.', 'Bienvenu, T.', 'Campeau, P. M.', 'Rousseau, J.', 'Levy, M. A.', 'Brick, L.', 'Kozenko, M.', 'Balci, T. B.', 'Siu, V. M.', 'Stuart, A.', 'Kadour, M.', 'Masters, J.', 'Takano, K.', 'Kleefstra, T.', 'de Leeuw, N.', 'Field, M.', 'Shaw, M.', 'Gecz, J.', 'Ainsworth, P. J.', 'Lin, H.', 'Rodenhiser, D. I.', 'Friez, M. J.', 'Tedder, M.', 'Lee, J. A.', 'DuPont, B. R.', 'Stevenson, R. E.', 'Skinner, S. A.', 'Schwartz, C. E.', 'Genevieve, D.', 'Sadikovic, B.']",2020-03-05
BAFopathy syndrome: Coffin-Siris 4 (CSS4),Genetic syndromes,140.0,Aref-Eshghi et al.,2020.0,Evaluation of DNA methylation episignatures for diagnosis and phenotype correlations in 42 Mendelian neurodevelopmental disorders,10.1016/j.ajhg.2020.01.019,Raw individual-level data,,Case control,889.0,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,"['Aref-Eshghi, E.', 'Kerkhof, J.', 'Pedro, V. P.', 'Barat-Houari, M.', 'Ruiz-Pallares, N.', 'Andrau, J. C.', 'Lacombe, D.', 'Van-Gils, J.', 'Fergelot, P.', 'Dubourg, C.', 'Cormier-Daire, V.', 'Rondeau, S.', 'Lecoquierre, F.', 'Saugier-Veber, P.', 'Nicolas, G.', 'Lesca, G.', 'Chatron, N.', 'Sanlaville, D.', 'Vitobello, A.', 'Faivre, L.', 'Thauvin-Robinet, C.', 'Laumonnier, F.', 'Raynaud, M.', 'Alders, M.', 'Mannens, M.', 'Henneman, P.', 'Hennekam, R. C.', 'Velasco, G.', 'Francastel, C.', 'Ulveling, D.', 'Ciolfi, A.', 'Pizzi, S.', 'Tartaglia, M.', 'Heide, S.', 'Héron, D.', 'Mignot, C.', 'Keren, B.', 'Whalen, S.', 'Afenjar, A.', 'Bienvenu, T.', 'Campeau, P. M.', 'Rousseau, J.', 'Levy, M. A.', 'Brick, L.', 'Kozenko, M.', 'Balci, T. B.', 'Siu, V. M.', 'Stuart, A.', 'Kadour, M.', 'Masters, J.', 'Takano, K.', 'Kleefstra, T.', 'de Leeuw, N.', 'Field, M.', 'Shaw, M.', 'Gecz, J.', 'Ainsworth, P. J.', 'Lin, H.', 'Rodenhiser, D. I.', 'Friez, M. J.', 'Tedder, M.', 'Lee, J. A.', 'DuPont, B. R.', 'Stevenson, R. E.', 'Skinner, S. A.', 'Schwartz, C. E.', 'Genevieve, D.', 'Sadikovic, B.']",2020-03-05
BAFopathy syndrome: Coffin-Siris 4 (CSS4),Genetic syndromes,140.0,Aref-Eshghi et al.,2020.0,Evaluation of DNA methylation episignatures for diagnosis and phenotype correlations in 42 Mendelian neurodevelopmental disorders,10.1016/j.ajhg.2020.01.019,Raw individual-level data,,Case control,889.0,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,"['Aref-Eshghi, E.', 'Kerkhof, J.', 'Pedro, V. P.', 'Barat-Houari, M.', 'Ruiz-Pallares, N.', 'Andrau, J. C.', 'Lacombe, D.', 'Van-Gils, J.', 'Fergelot, P.', 'Dubourg, C.', 'Cormier-Daire, V.', 'Rondeau, S.', 'Lecoquierre, F.', 'Saugier-Veber, P.', 'Nicolas, G.', 'Lesca, G.', 'Chatron, N.', 'Sanlaville, D.', 'Vitobello, A.', 'Faivre, L.', 'Thauvin-Robinet, C.', 'Laumonnier, F.', 'Raynaud, M.', 'Alders, M.', 'Mannens, M.', 'Henneman, P.', 'Hennekam, R. C.', 'Velasco, G.', 'Francastel, C.', 'Ulveling, D.', 'Ciolfi, A.', 'Pizzi, S.', 'Tartaglia, M.', 'Heide, S.', 'Héron, D.', 'Mignot, C.', 'Keren, B.', 'Whalen, S.', 'Afenjar, A.', 'Bienvenu, T.', 'Campeau, P. M.', 'Rousseau, J.', 'Levy, M. A.', 'Brick, L.', 'Kozenko, M.', 'Balci, T. B.', 'Siu, V. M.', 'Stuart, A.', 'Kadour, M.', 'Masters, J.', 'Takano, K.', 'Kleefstra, T.', 'de Leeuw, N.', 'Field, M.', 'Shaw, M.', 'Gecz, J.', 'Ainsworth, P. J.', 'Lin, H.', 'Rodenhiser, D. I.', 'Friez, M. J.', 'Tedder, M.', 'Lee, J. A.', 'DuPont, B. R.', 'Stevenson, R. E.', 'Skinner, S. A.', 'Schwartz, C. E.', 'Genevieve, D.', 'Sadikovic, B.']",2020-03-05
BAFopathy syndrome: Nicolaides–Baraitser (NCBRS),Genetic syndromes,140.0,Aref-Eshghi et al.,2020.0,Evaluation of DNA methylation episignatures for diagnosis and phenotype correlations in 42 Mendelian neurodevelopmental disorders,10.1016/j.ajhg.2020.01.019,Raw individual-level data,,Case control,889.0,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,"['Aref-Eshghi, E.', 'Kerkhof, J.', 'Pedro, V. P.', 'Barat-Houari, M.', 'Ruiz-Pallares, N.', 'Andrau, J. C.', 'Lacombe, D.', 'Van-Gils, J.', 'Fergelot, P.', 'Dubourg, C.', 'Cormier-Daire, V.', 'Rondeau, S.', 'Lecoquierre, F.', 'Saugier-Veber, P.', 'Nicolas, G.', 'Lesca, G.', 'Chatron, N.', 'Sanlaville, D.', 'Vitobello, A.', 'Faivre, L.', 'Thauvin-Robinet, C.', 'Laumonnier, F.', 'Raynaud, M.', 'Alders, M.', 'Mannens, M.', 'Henneman, P.', 'Hennekam, R. C.', 'Velasco, G.', 'Francastel, C.', 'Ulveling, D.', 'Ciolfi, A.', 'Pizzi, S.', 'Tartaglia, M.', 'Heide, S.', 'Héron, D.', 'Mignot, C.', 'Keren, B.', 'Whalen, S.', 'Afenjar, A.', 'Bienvenu, T.', 'Campeau, P. M.', 'Rousseau, J.', 'Levy, M. A.', 'Brick, L.', 'Kozenko, M.', 'Balci, T. B.', 'Siu, V. M.', 'Stuart, A.', 'Kadour, M.', 'Masters, J.', 'Takano, K.', 'Kleefstra, T.', 'de Leeuw, N.', 'Field, M.', 'Shaw, M.', 'Gecz, J.', 'Ainsworth, P. J.', 'Lin, H.', 'Rodenhiser, D. I.', 'Friez, M. J.', 'Tedder, M.', 'Lee, J. A.', 'DuPont, B. R.', 'Stevenson, R. E.', 'Skinner, S. A.', 'Schwartz, C. E.', 'Genevieve, D.', 'Sadikovic, B.']",2020-03-05
Börjeson-Forssman-Lehmann syndrome (BFLS),Genetic syndromes,117.0,Aref-Eshghi et al.,2020.0,Evaluation of DNA methylation episignatures for diagnosis and phenotype correlations in 42 Mendelian neurodevelopmental disorders,10.1016/j.ajhg.2020.01.019,Raw individual-level data,,Case control,753.0,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,"['Aref-Eshghi, E.', 'Kerkhof, J.', 'Pedro, V. P.', 'Barat-Houari, M.', 'Ruiz-Pallares, N.', 'Andrau, J. C.', 'Lacombe, D.', 'Van-Gils, J.', 'Fergelot, P.', 'Dubourg, C.', 'Cormier-Daire, V.', 'Rondeau, S.', 'Lecoquierre, F.', 'Saugier-Veber, P.', 'Nicolas, G.', 'Lesca, G.', 'Chatron, N.', 'Sanlaville, D.', 'Vitobello, A.', 'Faivre, L.', 'Thauvin-Robinet, C.', 'Laumonnier, F.', 'Raynaud, M.', 'Alders, M.', 'Mannens, M.', 'Henneman, P.', 'Hennekam, R. C.', 'Velasco, G.', 'Francastel, C.', 'Ulveling, D.', 'Ciolfi, A.', 'Pizzi, S.', 'Tartaglia, M.', 'Heide, S.', 'Héron, D.', 'Mignot, C.', 'Keren, B.', 'Whalen, S.', 'Afenjar, A.', 'Bienvenu, T.', 'Campeau, P. M.', 'Rousseau, J.', 'Levy, M. A.', 'Brick, L.', 'Kozenko, M.', 'Balci, T. B.', 'Siu, V. M.', 'Stuart, A.', 'Kadour, M.', 'Masters, J.', 'Takano, K.', 'Kleefstra, T.', 'de Leeuw, N.', 'Field, M.', 'Shaw, M.', 'Gecz, J.', 'Ainsworth, P. J.', 'Lin, H.', 'Rodenhiser, D. I.', 'Friez, M. J.', 'Tedder, M.', 'Lee, J. A.', 'DuPont, B. R.', 'Stevenson, R. E.', 'Skinner, S. A.', 'Schwartz, C. E.', 'Genevieve, D.', 'Sadikovic, B.']",2020-03-05
CHARGE syndrome,Genetic syndromes,148.0,Aref-Eshghi et al.,2020.0,Evaluation of DNA methylation episignatures for diagnosis and phenotype correlations in 42 Mendelian neurodevelopmental disorders,10.1016/j.ajhg.2020.01.019,Raw individual-level data,,Case control,809.0,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,"['Aref-Eshghi, E.', 'Kerkhof, J.', 'Pedro, V. P.', 'Barat-Houari, M.', 'Ruiz-Pallares, N.', 'Andrau, J. C.', 'Lacombe, D.', 'Van-Gils, J.', 'Fergelot, P.', 'Dubourg, C.', 'Cormier-Daire, V.', 'Rondeau, S.', 'Lecoquierre, F.', 'Saugier-Veber, P.', 'Nicolas, G.', 'Lesca, G.', 'Chatron, N.', 'Sanlaville, D.', 'Vitobello, A.', 'Faivre, L.', 'Thauvin-Robinet, C.', 'Laumonnier, F.', 'Raynaud, M.', 'Alders, M.', 'Mannens, M.', 'Henneman, P.', 'Hennekam, R. C.', 'Velasco, G.', 'Francastel, C.', 'Ulveling, D.', 'Ciolfi, A.', 'Pizzi, S.', 'Tartaglia, M.', 'Heide, S.', 'Héron, D.', 'Mignot, C.', 'Keren, B.', 'Whalen, S.', 'Afenjar, A.', 'Bienvenu, T.', 'Campeau, P. M.', 'Rousseau, J.', 'Levy, M. A.', 'Brick, L.', 'Kozenko, M.', 'Balci, T. B.', 'Siu, V. M.', 'Stuart, A.', 'Kadour, M.', 'Masters, J.', 'Takano, K.', 'Kleefstra, T.', 'de Leeuw, N.', 'Field, M.', 'Shaw, M.', 'Gecz, J.', 'Ainsworth, P. J.', 'Lin, H.', 'Rodenhiser, D. I.', 'Friez, M. J.', 'Tedder, M.', 'Lee, J. A.', 'DuPont, B. R.', 'Stevenson, R. E.', 'Skinner, S. A.', 'Schwartz, C. E.', 'Genevieve, D.', 'Sadikovic, B.']",2020-03-05
Claes-Jensen syndrome,Genetic syndromes,127.0,Aref-Eshghi et al.,2020.0,Evaluation of DNA methylation episignatures for diagnosis and phenotype correlations in 42 Mendelian neurodevelopmental disorders,10.1016/j.ajhg.2020.01.019,Raw individual-level data,,Case control,783.0,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,"['Aref-Eshghi, E.', 'Kerkhof, J.', 'Pedro, V. P.', 'Barat-Houari, M.', 'Ruiz-Pallares, N.', 'Andrau, J. C.', 'Lacombe, D.', 'Van-Gils, J.', 'Fergelot, P.', 'Dubourg, C.', 'Cormier-Daire, V.', 'Rondeau, S.', 'Lecoquierre, F.', 'Saugier-Veber, P.', 'Nicolas, G.', 'Lesca, G.', 'Chatron, N.', 'Sanlaville, D.', 'Vitobello, A.', 'Faivre, L.', 'Thauvin-Robinet, C.', 'Laumonnier, F.', 'Raynaud, M.', 'Alders, M.', 'Mannens, M.', 'Henneman, P.', 'Hennekam, R. C.', 'Velasco, G.', 'Francastel, C.', 'Ulveling, D.', 'Ciolfi, A.', 'Pizzi, S.', 'Tartaglia, M.', 'Heide, S.', 'Héron, D.', 'Mignot, C.', 'Keren, B.', 'Whalen, S.', 'Afenjar, A.', 'Bienvenu, T.', 'Campeau, P. M.', 'Rousseau, J.', 'Levy, M. A.', 'Brick, L.', 'Kozenko, M.', 'Balci, T. B.', 'Siu, V. M.', 'Stuart, A.', 'Kadour, M.', 'Masters, J.', 'Takano, K.', 'Kleefstra, T.', 'de Leeuw, N.', 'Field, M.', 'Shaw, M.', 'Gecz, J.', 'Ainsworth, P. J.', 'Lin, H.', 'Rodenhiser, D. I.', 'Friez, M. J.', 'Tedder, M.', 'Lee, J. A.', 'DuPont, B. R.', 'Stevenson, R. E.', 'Skinner, S. A.', 'Schwartz, C. E.', 'Genevieve, D.', 'Sadikovic, B.']",2020-03-05
Cornelia de Lange syndrome 1 (CdLS),Genetic syndromes,128.0,Aref-Eshghi et al.,2020.0,Evaluation of DNA methylation episignatures for diagnosis and phenotype correlations in 42 Mendelian neurodevelopmental disorders,10.1016/j.ajhg.2020.01.019,Raw individual-level data,,Case control,790.0,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,"['Aref-Eshghi, E.', 'Kerkhof, J.', 'Pedro, V. P.', 'Barat-Houari, M.', 'Ruiz-Pallares, N.', 'Andrau, J. C.', 'Lacombe, D.', 'Van-Gils, J.', 'Fergelot, P.', 'Dubourg, C.', 'Cormier-Daire, V.', 'Rondeau, S.', 'Lecoquierre, F.', 'Saugier-Veber, P.', 'Nicolas, G.', 'Lesca, G.', 'Chatron, N.', 'Sanlaville, D.', 'Vitobello, A.', 'Faivre, L.', 'Thauvin-Robinet, C.', 'Laumonnier, F.', 'Raynaud, M.', 'Alders, M.', 'Mannens, M.', 'Henneman, P.', 'Hennekam, R. C.', 'Velasco, G.', 'Francastel, C.', 'Ulveling, D.', 'Ciolfi, A.', 'Pizzi, S.', 'Tartaglia, M.', 'Heide, S.', 'Héron, D.', 'Mignot, C.', 'Keren, B.', 'Whalen, S.', 'Afenjar, A.', 'Bienvenu, T.', 'Campeau, P. M.', 'Rousseau, J.', 'Levy, M. A.', 'Brick, L.', 'Kozenko, M.', 'Balci, T. B.', 'Siu, V. M.', 'Stuart, A.', 'Kadour, M.', 'Masters, J.', 'Takano, K.', 'Kleefstra, T.', 'de Leeuw, N.', 'Field, M.', 'Shaw, M.', 'Gecz, J.', 'Ainsworth, P. J.', 'Lin, H.', 'Rodenhiser, D. I.', 'Friez, M. J.', 'Tedder, M.', 'Lee, J. A.', 'DuPont, B. R.', 'Stevenson, R. E.', 'Skinner, S. A.', 'Schwartz, C. E.', 'Genevieve, D.', 'Sadikovic, B.']",2020-03-05
Cornelia de Lange syndrome 2 (CdLS),Genetic syndromes,128.0,Aref-Eshghi et al.,2020.0,Evaluation of DNA methylation episignatures for diagnosis and phenotype correlations in 42 Mendelian neurodevelopmental disorders,10.1016/j.ajhg.2020.01.019,Raw individual-level data,,Case control,790.0,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,"['Aref-Eshghi, E.', 'Kerkhof, J.', 'Pedro, V. P.', 'Barat-Houari, M.', 'Ruiz-Pallares, N.', 'Andrau, J. C.', 'Lacombe, D.', 'Van-Gils, J.', 'Fergelot, P.', 'Dubourg, C.', 'Cormier-Daire, V.', 'Rondeau, S.', 'Lecoquierre, F.', 'Saugier-Veber, P.', 'Nicolas, G.', 'Lesca, G.', 'Chatron, N.', 'Sanlaville, D.', 'Vitobello, A.', 'Faivre, L.', 'Thauvin-Robinet, C.', 'Laumonnier, F.', 'Raynaud, M.', 'Alders, M.', 'Mannens, M.', 'Henneman, P.', 'Hennekam, R. C.', 'Velasco, G.', 'Francastel, C.', 'Ulveling, D.', 'Ciolfi, A.', 'Pizzi, S.', 'Tartaglia, M.', 'Heide, S.', 'Héron, D.', 'Mignot, C.', 'Keren, B.', 'Whalen, S.', 'Afenjar, A.', 'Bienvenu, T.', 'Campeau, P. M.', 'Rousseau, J.', 'Levy, M. A.', 'Brick, L.', 'Kozenko, M.', 'Balci, T. B.', 'Siu, V. M.', 'Stuart, A.', 'Kadour, M.', 'Masters, J.', 'Takano, K.', 'Kleefstra, T.', 'de Leeuw, N.', 'Field, M.', 'Shaw, M.', 'Gecz, J.', 'Ainsworth, P. J.', 'Lin, H.', 'Rodenhiser, D. I.', 'Friez, M. J.', 'Tedder, M.', 'Lee, J. A.', 'DuPont, B. R.', 'Stevenson, R. E.', 'Skinner, S. A.', 'Schwartz, C. E.', 'Genevieve, D.', 'Sadikovic, B.']",2020-03-05
Cornelia de Lange syndrome 3 (CdLS),Genetic syndromes,128.0,Aref-Eshghi et al.,2020.0,Evaluation of DNA methylation episignatures for diagnosis and phenotype correlations in 42 Mendelian neurodevelopmental disorders,10.1016/j.ajhg.2020.01.019,Raw individual-level data,,Case control,790.0,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,"['Aref-Eshghi, E.', 'Kerkhof, J.', 'Pedro, V. P.', 'Barat-Houari, M.', 'Ruiz-Pallares, N.', 'Andrau, J. C.', 'Lacombe, D.', 'Van-Gils, J.', 'Fergelot, P.', 'Dubourg, C.', 'Cormier-Daire, V.', 'Rondeau, S.', 'Lecoquierre, F.', 'Saugier-Veber, P.', 'Nicolas, G.', 'Lesca, G.', 'Chatron, N.', 'Sanlaville, D.', 'Vitobello, A.', 'Faivre, L.', 'Thauvin-Robinet, C.', 'Laumonnier, F.', 'Raynaud, M.', 'Alders, M.', 'Mannens, M.', 'Henneman, P.', 'Hennekam, R. C.', 'Velasco, G.', 'Francastel, C.', 'Ulveling, D.', 'Ciolfi, A.', 'Pizzi, S.', 'Tartaglia, M.', 'Heide, S.', 'Héron, D.', 'Mignot, C.', 'Keren, B.', 'Whalen, S.', 'Afenjar, A.', 'Bienvenu, T.', 'Campeau, P. M.', 'Rousseau, J.', 'Levy, M. A.', 'Brick, L.', 'Kozenko, M.', 'Balci, T. B.', 'Siu, V. M.', 'Stuart, A.', 'Kadour, M.', 'Masters, J.', 'Takano, K.', 'Kleefstra, T.', 'de Leeuw, N.', 'Field, M.', 'Shaw, M.', 'Gecz, J.', 'Ainsworth, P. J.', 'Lin, H.', 'Rodenhiser, D. I.', 'Friez, M. J.', 'Tedder, M.', 'Lee, J. A.', 'DuPont, B. R.', 'Stevenson, R. E.', 'Skinner, S. A.', 'Schwartz, C. E.', 'Genevieve, D.', 'Sadikovic, B.']",2020-03-05
Cornelia de Lange syndrome 4 (CdLS),Genetic syndromes,128.0,Aref-Eshghi et al.,2020.0,Evaluation of DNA methylation episignatures for diagnosis and phenotype correlations in 42 Mendelian neurodevelopmental disorders,10.1016/j.ajhg.2020.01.019,Raw individual-level data,,Case control,790.0,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,"['Aref-Eshghi, E.', 'Kerkhof, J.', 'Pedro, V. P.', 'Barat-Houari, M.', 'Ruiz-Pallares, N.', 'Andrau, J. C.', 'Lacombe, D.', 'Van-Gils, J.', 'Fergelot, P.', 'Dubourg, C.', 'Cormier-Daire, V.', 'Rondeau, S.', 'Lecoquierre, F.', 'Saugier-Veber, P.', 'Nicolas, G.', 'Lesca, G.', 'Chatron, N.', 'Sanlaville, D.', 'Vitobello, A.', 'Faivre, L.', 'Thauvin-Robinet, C.', 'Laumonnier, F.', 'Raynaud, M.', 'Alders, M.', 'Mannens, M.', 'Henneman, P.', 'Hennekam, R. C.', 'Velasco, G.', 'Francastel, C.', 'Ulveling, D.', 'Ciolfi, A.', 'Pizzi, S.', 'Tartaglia, M.', 'Heide, S.', 'Héron, D.', 'Mignot, C.', 'Keren, B.', 'Whalen, S.', 'Afenjar, A.', 'Bienvenu, T.', 'Campeau, P. M.', 'Rousseau, J.', 'Levy, M. A.', 'Brick, L.', 'Kozenko, M.', 'Balci, T. B.', 'Siu, V. M.', 'Stuart, A.', 'Kadour, M.', 'Masters, J.', 'Takano, K.', 'Kleefstra, T.', 'de Leeuw, N.', 'Field, M.', 'Shaw, M.', 'Gecz, J.', 'Ainsworth, P. J.', 'Lin, H.', 'Rodenhiser, D. I.', 'Friez, M. J.', 'Tedder, M.', 'Lee, J. A.', 'DuPont, B. R.', 'Stevenson, R. E.', 'Skinner, S. A.', 'Schwartz, C. E.', 'Genevieve, D.', 'Sadikovic, B.']",2020-03-05
Down syndrome,Genetic syndromes,124.0,Aref-Eshghi et al.,2020.0,Evaluation of DNA methylation episignatures for diagnosis and phenotype correlations in 42 Mendelian neurodevelopmental disorders,10.1016/j.ajhg.2020.01.019,Raw individual-level data,,Case control,788.0,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,"['Aref-Eshghi, E.', 'Kerkhof, J.', 'Pedro, V. P.', 'Barat-Houari, M.', 'Ruiz-Pallares, N.', 'Andrau, J. C.', 'Lacombe, D.', 'Van-Gils, J.', 'Fergelot, P.', 'Dubourg, C.', 'Cormier-Daire, V.', 'Rondeau, S.', 'Lecoquierre, F.', 'Saugier-Veber, P.', 'Nicolas, G.', 'Lesca, G.', 'Chatron, N.', 'Sanlaville, D.', 'Vitobello, A.', 'Faivre, L.', 'Thauvin-Robinet, C.', 'Laumonnier, F.', 'Raynaud, M.', 'Alders, M.', 'Mannens, M.', 'Henneman, P.', 'Hennekam, R. C.', 'Velasco, G.', 'Francastel, C.', 'Ulveling, D.', 'Ciolfi, A.', 'Pizzi, S.', 'Tartaglia, M.', 'Heide, S.', 'Héron, D.', 'Mignot, C.', 'Keren, B.', 'Whalen, S.', 'Afenjar, A.', 'Bienvenu, T.', 'Campeau, P. M.', 'Rousseau, J.', 'Levy, M. A.', 'Brick, L.', 'Kozenko, M.', 'Balci, T. B.', 'Siu, V. M.', 'Stuart, A.', 'Kadour, M.', 'Masters, J.', 'Takano, K.', 'Kleefstra, T.', 'de Leeuw, N.', 'Field, M.', 'Shaw, M.', 'Gecz, J.', 'Ainsworth, P. J.', 'Lin, H.', 'Rodenhiser, D. I.', 'Friez, M. J.', 'Tedder, M.', 'Lee, J. A.', 'DuPont, B. R.', 'Stevenson, R. E.', 'Skinner, S. A.', 'Schwartz, C. E.', 'Genevieve, D.', 'Sadikovic, B.']",2020-03-05
Dup7 syndrome,Genetic syndromes,85.0,Aref-Eshghi et al.,2020.0,Evaluation of DNA methylation episignatures for diagnosis and phenotype correlations in 42 Mendelian neurodevelopmental disorders,10.1016/j.ajhg.2020.01.019,Raw individual-level data,,Case control,759.0,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,"['Aref-Eshghi, E.', 'Kerkhof, J.', 'Pedro, V. P.', 'Barat-Houari, M.', 'Ruiz-Pallares, N.', 'Andrau, J. C.', 'Lacombe, D.', 'Van-Gils, J.', 'Fergelot, P.', 'Dubourg, C.', 'Cormier-Daire, V.', 'Rondeau, S.', 'Lecoquierre, F.', 'Saugier-Veber, P.', 'Nicolas, G.', 'Lesca, G.', 'Chatron, N.', 'Sanlaville, D.', 'Vitobello, A.', 'Faivre, L.', 'Thauvin-Robinet, C.', 'Laumonnier, F.', 'Raynaud, M.', 'Alders, M.', 'Mannens, M.', 'Henneman, P.', 'Hennekam, R. C.', 'Velasco, G.', 'Francastel, C.', 'Ulveling, D.', 'Ciolfi, A.', 'Pizzi, S.', 'Tartaglia, M.', 'Heide, S.', 'Héron, D.', 'Mignot, C.', 'Keren, B.', 'Whalen, S.', 'Afenjar, A.', 'Bienvenu, T.', 'Campeau, P. M.', 'Rousseau, J.', 'Levy, M. A.', 'Brick, L.', 'Kozenko, M.', 'Balci, T. B.', 'Siu, V. M.', 'Stuart, A.', 'Kadour, M.', 'Masters, J.', 'Takano, K.', 'Kleefstra, T.', 'de Leeuw, N.', 'Field, M.', 'Shaw, M.', 'Gecz, J.', 'Ainsworth, P. J.', 'Lin, H.', 'Rodenhiser, D. I.', 'Friez, M. J.', 'Tedder, M.', 'Lee, J. A.', 'DuPont, B. R.', 'Stevenson, R. E.', 'Skinner, S. A.', 'Schwartz, C. E.', 'Genevieve, D.', 'Sadikovic, B.']",2020-03-05
"Epileptic encephalopathy, childhood-onset (EEOC)",Genetic syndromes,111.0,Aref-Eshghi et al.,2020.0,Evaluation of DNA methylation episignatures for diagnosis and phenotype correlations in 42 Mendelian neurodevelopmental disorders,10.1016/j.ajhg.2020.01.019,Raw individual-level data,,Case control,754.0,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,"['Aref-Eshghi, E.', 'Kerkhof, J.', 'Pedro, V. P.', 'Barat-Houari, M.', 'Ruiz-Pallares, N.', 'Andrau, J. C.', 'Lacombe, D.', 'Van-Gils, J.', 'Fergelot, P.', 'Dubourg, C.', 'Cormier-Daire, V.', 'Rondeau, S.', 'Lecoquierre, F.', 'Saugier-Veber, P.', 'Nicolas, G.', 'Lesca, G.', 'Chatron, N.', 'Sanlaville, D.', 'Vitobello, A.', 'Faivre, L.', 'Thauvin-Robinet, C.', 'Laumonnier, F.', 'Raynaud, M.', 'Alders, M.', 'Mannens, M.', 'Henneman, P.', 'Hennekam, R. C.', 'Velasco, G.', 'Francastel, C.', 'Ulveling, D.', 'Ciolfi, A.', 'Pizzi, S.', 'Tartaglia, M.', 'Heide, S.', 'Héron, D.', 'Mignot, C.', 'Keren, B.', 'Whalen, S.', 'Afenjar, A.', 'Bienvenu, T.', 'Campeau, P. M.', 'Rousseau, J.', 'Levy, M. A.', 'Brick, L.', 'Kozenko, M.', 'Balci, T. B.', 'Siu, V. M.', 'Stuart, A.', 'Kadour, M.', 'Masters, J.', 'Takano, K.', 'Kleefstra, T.', 'de Leeuw, N.', 'Field, M.', 'Shaw, M.', 'Gecz, J.', 'Ainsworth, P. J.', 'Lin, H.', 'Rodenhiser, D. I.', 'Friez, M. J.', 'Tedder, M.', 'Lee, J. A.', 'DuPont, B. R.', 'Stevenson, R. E.', 'Skinner, S. A.', 'Schwartz, C. E.', 'Genevieve, D.', 'Sadikovic, B.']",2020-03-05
